Year,Title,Role,Director
1997,Vamsam,,Baiju Kottarakara
1997,Kaliyoonjal,Nandagopalan,Anil-Babu
1997,Oral Mathram,Hareendran,Sathyan Anthikkad
1996,Udhyanapalakan,Sudhakaran Nair,Harikumar
1996,Indraprastham,Sathish Menon,Haridas
1996,Aayiram Naavulla Ananthan,Dr. Anantha Padmanabhan,Thulasidas
1996,Hitler,Madhavan Kutty,Siddique
1996,Azhakiya Ravanan,Sanker Das,Kamal
1995,The King,Thevalliparambil Joseph Alex,Shaji Kailas
1995,Ormakal Undayirikkanam,Bhasi,T. V. Chandran
1995,No. 1 Snehatheeram Banglore North,Vijaya Bhasker,Sathyan Anthikkad
1995,Oru Abhibhashakante Case Diary,Aniyan Kuruvilla,K. Madhu
1995,Mazhayethum Munpe,Nandakumar Varma,Kamal
1994,Sukrutham,Ravishankar,Hari Kumar
1994,Sainyam,Captain Eswar,Joshy
1994,Sagaram Sakshi,Balachandran,Sibi Malayil
1994,Vishnu,Vishnu,P. Sreekumar
1994,Ponthan Mada,Mada,T. V. Chandran
1994,Vidheyan,Bhaskar Patelar,Adoor Gopalakrishnan
1993,Golanthara Vartha,Ramesan Nair,Sathyan Anthikkad
1993,Padheyam,Chandradas,Bharathan
1993,Sarovaram,Devadathan,Jeassy
1993,Palayam,Christi,T. S. Suresh Babu
1993,Jackpot,Gautham Krishna,Joemon
1993,Valtsalyam,Meledathu Raghvan Nair,Cochin Haneefa
1993,Aayirappara,Shouwri,Venu Nagavalli
1993,Dhruvam,Narasimha Mannadiyar,Joshy
1992,Pappayude Swantham Appoos,Balachandran,Fazil
1992,Kizhakkan Pathrose,Pathrose,T. S. Suresh Babu
1992,Mahanagaram,Chanthakkadu Viswan,T. K. Rajeev Kumar
1992,Johnnie Walker,John Varghese,Jayaraaj
1992,Soorya Manasam,Putturumees,Viji Thampi
1992,Kauravar,Antony,Joshy
1991,Neelagiri,Sivan,I. V. Sasi
1991,Anaswaram,Daniel D'Souza,Joemon
1991,Kanalkkattu,Nathu Narayanan,Sathyan Anthikkad
1991,Adayalam,Hariharan,K. Madhu
1991,Inspector Balram,Inspector Balram,I. V. Sasi
1991,Nayam Vyakthamakkunnu,Sukumaran,Balachandra Menon
1991,Amaram,Achootty,Bharathan
1990,Parampara,Lawrence/Johny,Sibi Malayil
1990,No.20 Madras Mail,Himself (cameo),Joshy
1990,Ee Thanutha Veluppan Kalathu,Haridas Damodaran,Joshy
1990,Iyer the Great,Soorya Narayana Iyer,Bhadran
1990,Oliyampukal,Arackal Baby Mathew,Hariharan
1990,Kalikkalam,Thief,Sathyan Anthikkad
1990,Samrajyam,Alexander,Joemon
1990,Mathilukal,Vaikom Basheer,Adoor Gopalakrishnan
1990,Midhya,Venugopal,I. V. Sasi
1990,Kottayam Kunjachan,Kunjachan,T. S. Suresh
1990,Purappadu,Viswanathan,Jeassy
1989,Mrigaya,Varunni,I. V. Sasi
1989,Mahayanam,Chandran,Joshy
1989,Nair Saab,Captain Ravindran Nair,Joshy
1989,Jagratha,Sethurama Iyer,K. Madhu
1989,Artham,Ben Narendran,Sathyan Anthikkad
1989,Carnival,Bharathan,P. G. Viswambharan
1989,Adharvam,Anantha Padmanabhan,Dennis Joseph
1989,Utharam,Balachandran Nair,Pavithran
1989,Oru Vadakkan Veeragatha,Chanthu Chekavar,T. Hariharan
1989,Adikkurippu,Bhaskara Pillai,K. Madhu
1989,Mudra_(1989_film),Ramabhadran,Sibi Malayil
1989,Charithram,Philipose Manavalan,G. S. Vijayan
1988,Sanghanadam,Chandran,T. S. Suresh Babu
1988,Mukthi,Haridas,I. V. Sasi
1988,Thanthram,George Korah Vettickal,Joshiy
1988,1921,Naik Khader,I. V. Sasi
1988,Mattoral,Balan,K. G. George
