Year,Title,Role,Age
1994,Sainyam,Captain Eswar,43
1994,Sagaram Sakshi,Balachandran,43
1994,Ponthan Mada,Mada,43
1993,Valtsalyam,Meledathu Raghvan Nair,42
1993,Sarovaram,Devadathan,42
1993,Palayam,Christi,42
1993,Padheyam,Chandradas,42
1993,Kilipetchu Ketkava,Chidambaramcitation needed],42
1993,Jackpot,Gautham Krishna,42
1993,Golanthara Vartha,Ramesan Nair,42
1993,Dhruvam,Narasimha Mannadiyar,42
1993,Aayirappara,Shouwri,42
1992,Soorya Manasam,Putturumees,41
1992,Pappayude Swantham Appoos,Balachandran,41
1992,Mahanagaram,Chanthakkadu Viswan,41
1992,Kizhakkan Pathrose,Pathrose,41
1992,Kauravar,Antony,41
1992,Johnnie Walker,John Varghese,41
1991,Thalapathi,Devaraj,40
1991,Neelagiri,Sivan,40
1991,Nayam Vyakthamakkunnu,Sukumaran,40
1991,Kanalkkattu,Nathu Narayanan,40
1991,Inspector Balram,Inspector Balram,40
1991,Azhagan,Azhakappan,40
1991,Anaswaram,Daniel D'Souza,40
1991,Amaram,Achootty,40
1991,Adayalam,Hariharan,40
1990,Samrajyam,Alexander,39
1990,Purappadu,Viswanathan,39
1990,Parampara,Lawrence/Johny,39
1990,Oliyampukal,Arackal Baby Mathew,39
1990,No.20 Madras Mail,Himself (cameo),39
1990,Mounam Sammadham,Raja,39
1990,Midhya,Venugopal,39
1990,Mathilukal,Vaikom Basheer,39
1990,Kottayam Kunjachan,Kunjachan,39
1990,Kalikkalam,Thief,39
1990,Iyer the Great,Soorya Narayana Iyer,39
1990,Ee Thanutha Veluppan Kalathu,Haridas Damodaran,39
1989,Utharam,Balachandran Nair,38
1989,Oru Vadakkan Veeragatha,Chanthu Chekavar,38
1989,Nair Saab,Captain Ravindran Nair,38
1989,Mudra_(1989_film),Ramabhadran,38
1989,Mrigaya,Varunni,38
1989,Mahayanam,Chandran,38
1989,Jagratha,Sethurama Iyer,38
1989,Charithram,Philipose Manavalan,38
1989,Carnival,Bharathan,38
1989,Artham,Ben Narendran,38
1989,Adikkurippu,Bhaskara Pillai,38
1989,Adharvam,Anantha Padmanabhan,38
1988,Vicharana,Sethumadhavan,37
1988,Thanthram,George Korah Vettickal,37
1988,Sanghanadam,Chandran,37
1988,Sangham,Kuttappai,37
1988,Oru CBI Diary Kurippu,Sethurama Iyer,37
